iter	Passed	Remaining
919	1691	147
920	1692	145
921	1694	143
922	1696	141
923	1697	139
924	1699	137
925	1701	135
926	1702	134
927	1704	132
928	1706	130
929	1708	128
930	1709	126
931	1711	124
932	1713	123
933	1715	121
934	1717	119
935	1718	117
936	1720	115
937	1722	113
938	1724	112
939	1726	110
940	1728	108
941	1729	106
942	1731	104
943	1733	102
944	1734	100
945	1736	99
946	1738	97
947	1740	95
948	1741	93
949	1743	91
950	1745	89
951	1748	88
952	1750	86
953	1752	84
954	1753	82
955	1755	80
956	1757	78
957	1759	77
958	1761	75
959	1762	73
960	1764	71
961	1766	69
962	1768	67
963	1771	66
964	1773	64
965	1776	62
966	1778	60
967	1780	58
968	1782	57
969	1784	55
970	1786	53
971	1788	51
972	1790	49
973	1792	47
974	1794	46
975	1795	44
976	1797	42
977	1799	40
978	1800	38
979	1802	36
980	1804	34
981	1805	33
982	1807	31
983	1809	29
984	1812	27
985	1813	25
986	1815	23
987	1817	22
988	1818	20
989	1820	18
990	1822	16
991	1824	14
992	1826	12
993	1827	11
994	1829	9
995	1831	7
996	1832	5
997	1834	3
998	1836	1
999	1837	0
